frame_number,class_id,confidence,x,y,w,h
137,0,0.6794956,137729,87108,32398,128358
137,0,0.58188736,137913,88549,32314,129568
138,0,0.62451035,137503,90538,32452,121395
138,0,0.647398,137585,90374,32793,121945
138,0,0.6453372,137256,87221,32704,128375
138,0,0.6667106,137661,87030,32320,128410
138,0,0.58405095,137849,88630,32000,128998
138,0,0.6142838,137324,87046,32842,128760
138,0,0.6765807,137728,87117,32395,128414
138,0,0.578442,137911,88567,32300,129557
139,0,0.56675726,138696,89656,33981,121420
139,0,0.58819985,138682,89499,34116,122059
139,0,0.58678067,137889,86589,33741,124630
139,0,0.59852505,138421,86694,33798,124965
139,0,0.56249726,137959,86512,33814,125032
139,0,0.60908985,138459,86784,33886,124633
140,0,0.56256515,138692,89482,34038,121422
140,0,0.5848593,138678,89336,34176,122112
140,0,0.5913677,137917,86405,33786,124751
140,0,0.59980685,138429,86537,33887,124881
140,0,0.56707156,137986,86334,33862,125152
140,0,0.6098876,138466,86629,33970,124586
141,0,0.5048638,137672,87874,31451,115417
141,0,0.57001483,137529,84229,32549,121055
141,0,0.54915535,137980,85720,32345,121421
141,0,0.5482616,137582,84254,32664,121504
141,0,0.54408556,138013,85842,32500,121777
142,0,0.5046567,137655,87916,31485,115281
142,0,0.5695879,137520,84326,32578,120855
142,0,0.549943,137967,85799,32353,121274
142,0,0.5476104,137574,84341,32692,121309
142,0,0.5448034,138001,85919,32503,121640
148,0,0.5115686,140927,72454,34107,101098
148,0,0.5045221,140902,72502,34149,101777
149,0,0.5009649,90521,83808,13500,57914
150,0,0.504163,90522,83812,13498,57928
159,0,0.57705665,141019,66102,30184,92318
159,0,0.57149863,141044,66025,30241,93487
159,0,0.5715952,141030,66083,30277,92177
159,0,0.5476181,141166,65475,30924,88926
159,0,0.6176652,141401,66213,30987,92168
159,0,0.5742812,141421,66390,31680,93587
159,0,0.53202474,156065,315529,121131,187137
159,0,0.5259318,141164,65425,30978,89338
159,0,0.597056,141352,66193,31015,92622
159,0,0.53894687,141390,66455,31793,94366
159,0,0.54058003,156110,315999,120289,186705
159,0,0.5329673,156659,315929,121559,186069
160,0,0.58014107,141002,66023,30080,92198
160,0,0.5747198,141026,65948,30132,93385
160,0,0.57466555,141011,66010,30169,92062
160,0,0.5576953,141155,65471,30830,88961
160,0,0.61920154,141385,66068,30873,91834
160,0,0.57833505,141394,66283,31587,93308
160,0,0.52855283,156083,315417,121128,187272
160,0,0.5357093,141153,65419,30888,89358
160,0,0.59738755,141338,66048,30909,92284
160,0,0.5423102,141359,66351,31694,94068
160,0,0.53715366,156130,315847,120315,186932
160,0,0.5302097,156660,315788,121522,186331
161,0,0.65887547,140927,67118,29429,93473
161,0,0.5171574,141490,66533,29667,92774
161,0,0.51424813,141108,73207,30296,108128
161,0,0.6531087,140947,67071,29485,95017
161,0,0.5148092,141505,66561,29982,92613
161,0,0.6563884,140923,67183,29506,93326
161,0,0.5200766,141516,66708,30010,92311
161,0,0.51010734,141101,73177,30351,109450
161,0,0.6640384,141209,70098,30725,99044
161,0,0.58818233,141346,69484,31125,99086
161,0,0.63144684,141153,70055,30799,99626
161,0,0.54714847,141349,69292,31269,99577
161,0,0.6459257,120121,190414,47522,246976
161,0,0.57662296,120292,191633,48131,242998
162,0,0.62856925,140902,67672,29792,93755
162,0,0.53754354,141060,75392,30846,111422
162,0,0.62094486,140933,67622,29878,95117
162,0,0.6241336,140914,67693,29897,93623
162,0,0.5323588,141058,75409,30907,113527
